E0=3.228912	epsilon=0.030000
-0.876000	-0.000624
-0.864000	-0.011571
-0.852000	-0.022513
-0.840000	-0.033445
-0.828000	-0.044362
-0.816000	-0.055260
-0.804000	-0.066134
-0.792000	-0.076979
-0.780000	-0.087789
-0.768000	-0.098561
-0.756000	-0.109290
-0.744000	-0.119970
-0.732000	-0.130597
-0.720000	-0.141165
-0.708000	-0.151671
-0.696000	-0.162110
-0.684000	-0.172476
-0.672000	-0.182764
-0.660000	-0.192971
-0.648000	-0.203092
-0.636000	-0.213121
-0.624000	-0.223055
-0.612000	-0.232888
-0.600000	-0.242616
-0.588000	-0.252234
-0.576000	-0.261739
-0.564000	-0.271125
-0.552000	-0.280388
-0.540000	-0.289524
-0.528000	-0.298529
-0.516000	-0.307398
-0.504000	-0.316127
-0.492000	-0.324712
-0.480000	-0.333149
-0.468000	-0.341434
-0.456000	-0.349563
-0.444000	-0.357532
-0.432000	-0.365338
-0.420000	-0.372976
-0.408000	-0.380443
-0.396000	-0.387736
-0.384000	-0.394851
-0.372000	-0.401784
-0.360000	-0.408532
-0.348000	-0.415093
-0.336000	-0.421462
-0.324000	-0.427637
-0.312000	-0.433615
-0.300000	-0.439393
-0.288000	-0.444968
-0.276000	-0.450338
-0.264000	-0.455499
-0.252000	-0.460450
-0.240000	-0.465188
-0.228000	-0.469710
-0.216000	-0.474015
-0.204000	-0.478100
-0.192000	-0.481964
-0.180000	-0.485604
-0.168000	-0.489019
-0.156000	-0.492208
-0.144000	-0.495168
-0.132000	-0.497898
-0.120000	-0.500396
-0.108000	-0.502663
-0.096000	-0.504696
-0.084000	-0.506494
-0.072000	-0.508057
-0.060000	-0.509384
-0.048000	-0.510475
-0.036000	-0.511327
-0.024000	-0.511943
-0.012000	-0.512320
0.000000	-0.512459
0.012000	-0.512360
0.024000	-0.512022
0.036000	-0.511446
0.048000	-0.510633
0.060000	-0.509582
0.072000	-0.508295
0.084000	-0.506771
0.096000	-0.505012
0.108000	-0.503018
0.120000	-0.500790
0.132000	-0.498330
0.144000	-0.495639
0.156000	-0.492717
0.168000	-0.489567
0.180000	-0.486189
0.192000	-0.482586
0.204000	-0.478760
0.216000	-0.474711
0.228000	-0.470443
0.240000	-0.465956
0.252000	-0.461254
0.264000	-0.456339
0.276000	-0.451212
0.288000	-0.445877
0.300000	-0.440336
0.312000	-0.434592
0.324000	-0.428647
0.336000	-0.422505
0.348000	-0.416168
0.360000	-0.409639
0.372000	-0.402922
0.384000	-0.396019
0.396000	-0.388934
0.408000	-0.381671
0.420000	-0.374233
0.432000	-0.366623
0.444000	-0.358845
0.456000	-0.350902
0.468000	-0.342800
0.480000	-0.334541
0.492000	-0.326129
0.504000	-0.317568
0.516000	-0.308862
0.528000	-0.300017
0.540000	-0.291034
0.552000	-0.281920
0.564000	-0.272677
0.576000	-0.263311
0.588000	-0.253826
0.600000	-0.244226
0.612000	-0.234516
0.624000	-0.224700
0.636000	-0.214783
0.648000	-0.204770
0.660000	-0.194664
0.672000	-0.184471
0.684000	-0.174196
0.696000	-0.163842
0.708000	-0.153416
0.720000	-0.142921
0.732000	-0.132362
0.744000	-0.121745
0.756000	-0.111073
0.768000	-0.100353
0.780000	-0.089587
0.792000	-0.078783
0.804000	-0.067944
0.816000	-0.057074
0.828000	-0.046180
0.840000	-0.035265
0.852000	-0.024335
0.864000	-0.013395
0.876000	-0.002448
0.888000	0.008499
0.900000	0.019443
0.912000	0.030378
0.924000	0.041301
0.936000	0.052205
0.948000	0.063087
0.960000	0.073942
0.972000	0.084765
0.984000	0.095552
0.996000	0.106299
1.008000	0.117000
1.020000	0.127651
1.032000	0.138249
1.044000	0.148788
1.056000	0.159265
1.068000	0.169675
1.080000	0.180014
1.092000	0.190277
1.104000	0.200462
1.116000	0.210563
1.128000	0.220578
1.140000	0.230501
1.152000	0.240330
1.164000	0.250060
1.176000	0.259689
1.188000	0.269211
1.200000	0.278624
1.212000	0.287925
1.224000	0.297110
1.236000	0.306175
1.248000	0.315118
1.260000	0.323935
1.272000	0.332624
1.284000	0.341181
1.296000	0.349604
1.308000	0.357889
1.320000	0.366035
1.332000	0.374038
1.344000	0.381897
1.356000	0.389607
1.368000	0.397168
1.380000	0.404578
1.392000	0.411833
1.404000	0.418932
1.416000	0.425872
1.428000	0.432653
1.440000	0.439272
1.452000	0.445728
1.464000	0.452019
1.476000	0.458144
1.488000	0.464101
1.500000	0.469888
1.512000	0.475506
1.524000	0.480952
1.536000	0.486226
1.548000	0.491327
1.560000	0.496254
1.572000	0.501006
1.584000	0.505583
1.596000	0.509984
1.608000	0.514209
1.620000	0.518258
1.632000	0.522129
1.644000	0.525825
1.656000	0.529343
1.668000	0.532684
1.680000	0.535849
