E0=0.549072	epsilon=0.020000
0.912000	0.518169
0.924000	0.514967
0.936000	0.511741
0.948000	0.508492
0.960000	0.505220
0.972000	0.501926
0.984000	0.498611
0.996000	0.495275
1.008000	0.491919
1.020000	0.488543
1.032000	0.485149
1.044000	0.481736
1.056000	0.478306
1.068000	0.474859
1.080000	0.471395
1.092000	0.467916
1.104000	0.464422
1.116000	0.460913
1.128000	0.457391
1.140000	0.453855
1.152000	0.450307
1.164000	0.446747
1.176000	0.443176
1.188000	0.439595
1.200000	0.436003
1.212000	0.432402
1.224000	0.428793
1.236000	0.425175
1.248000	0.421550
1.260000	0.417918
1.272000	0.414280
1.284000	0.410637
1.296000	0.406988
1.308000	0.403335
1.320000	0.399679
1.332000	0.396019
1.344000	0.392357
1.356000	0.388693
1.368000	0.385028
1.380000	0.381362
1.392000	0.377696
1.404000	0.374031
1.416000	0.370367
1.428000	0.366704
1.440000	0.363044
1.452000	0.359386
1.464000	0.355732
1.476000	0.352082
1.488000	0.348436
1.500000	0.344796
1.512000	0.341161
1.524000	0.337532
1.536000	0.333910
1.548000	0.330296
1.560000	0.326689
1.572000	0.323090
1.584000	0.319501
1.596000	0.315920
1.608000	0.312350
1.620000	0.308789
1.632000	0.305240
1.644000	0.301702
1.656000	0.298176
1.668000	0.294662
1.680000	0.291160
1.692000	0.287672
1.704000	0.284198
1.716000	0.280737
1.728000	0.277292
1.740000	0.273861
1.752000	0.270445
1.764000	0.267046
1.776000	0.263662
1.788000	0.260295
1.800000	0.256945
1.812000	0.253613
1.824000	0.250298
1.836000	0.247001
1.848000	0.243723
1.860000	0.240463
1.872000	0.237223
1.884000	0.234003
1.896000	0.230802
1.908000	0.227621
1.920000	0.224461
1.932000	0.221321
1.944000	0.218203
1.956000	0.215106
1.968000	0.212031
1.980000	0.208977
1.992000	0.205946
2.004000	0.202937
2.016000	0.199951
2.028000	0.196987
2.040000	0.194047
2.052000	0.191130
2.064000	0.188237
2.076000	0.185368
2.088000	0.182522
2.100000	0.179701
2.112000	0.176904
2.124000	0.174132
2.136000	0.171384
2.148000	0.168661
2.160000	0.165963
2.172000	0.163290
2.184000	0.160642
2.196000	0.158020
2.208000	0.155423
2.220000	0.152852
2.232000	0.150306
2.244000	0.147787
2.256000	0.145293
2.268000	0.142825
2.280000	0.140383
2.292000	0.137967
2.304000	0.135577
2.316000	0.133214
2.328000	0.130876
2.340000	0.128565
2.352000	0.126280
2.364000	0.124021
2.376000	0.121789
2.388000	0.119582
2.400000	0.117402
2.412000	0.115249
2.424000	0.113121
2.436000	0.111020
2.448000	0.108945
2.460000	0.106896
2.472000	0.104873
2.484000	0.102876
2.496000	0.100905
2.508000	0.098959
2.520000	0.097040
2.532000	0.095147
2.544000	0.093279
2.556000	0.091437
2.568000	0.089620
2.580000	0.087828
2.592000	0.086062
2.604000	0.084321
2.616000	0.082605
2.628000	0.080914
2.640000	0.079248
2.652000	0.077606
2.664000	0.075990
2.676000	0.074397
2.688000	0.072829
2.700000	0.071284
2.712000	0.069764
2.724000	0.068268
2.736000	0.066795
2.748000	0.065345
2.760000	0.063919
2.772000	0.062516
2.784000	0.061136
2.796000	0.059779
2.808000	0.058444
2.820000	0.057132
2.832000	0.055842
2.844000	0.054574
2.856000	0.053328
2.868000	0.052104
2.880000	0.050900
2.892000	0.049719
2.904000	0.048558
2.916000	0.047418
2.928000	0.046299
2.940000	0.045200
2.952000	0.044121
2.964000	0.043062
2.976000	0.042023
2.988000	0.041004
3.000000	0.040003
3.012000	0.039022
3.024000	0.038060
3.036000	0.037117
3.048000	0.036192
3.060000	0.035285
3.072000	0.034396
3.084000	0.033525
3.096000	0.032671
3.108000	0.031835
3.120000	0.031016
3.132000	0.030214
3.144000	0.029428
3.156000	0.028659
3.168000	0.027906
3.180000	0.027169
3.192000	0.026448
3.204000	0.025742
3.216000	0.025051
3.228000	0.024376
3.240000	0.023715
3.252000	0.023069
3.264000	0.022437
3.276000	0.021820
3.288000	0.021216
3.300000	0.020626
3.312000	0.020050
3.324000	0.019487
3.336000	0.018937
3.348000	0.018399
3.360000	0.017875
3.372000	0.017363
3.384000	0.016862
3.396000	0.016374
3.408000	0.015898
3.420000	0.015433
3.432000	0.014980
3.444000	0.014538
3.456000	0.014106
3.468000	0.013686
3.480000	0.013276
3.492000	0.012876
3.504000	0.012486
3.516000	0.012107
3.528000	0.011737
3.540000	0.011376
3.552000	0.011025
3.564000	0.010684
3.576000	0.010351
3.588000	0.010027
3.600000	0.009711
3.612000	0.009405
3.624000	0.009106
3.636000	0.008815
3.648000	0.008533
3.660000	0.008258
3.672000	0.007991
3.684000	0.007731
3.696000	0.007478
3.708000	0.007233
3.720000	0.006994
3.732000	0.006763
3.744000	0.006538
3.756000	0.006319
3.768000	0.006107
3.780000	0.005901
3.792000	0.005701
3.804000	0.005506
3.816000	0.005318
3.828000	0.005135
3.840000	0.004958
3.852000	0.004786
3.864000	0.004619
3.876000	0.004457
3.888000	0.004300
3.900000	0.004148
3.912000	0.004001
3.924000	0.003858
3.936000	0.003720
3.948000	0.003586
3.960000	0.003457
3.972000	0.003331
3.984000	0.003210
3.996000	0.003092
4.008000	0.002978
4.020000	0.002868
4.032000	0.002762
4.044000	0.002659
4.056000	0.002559
4.068000	0.002463
4.080000	0.002370
4.092000	0.002280
4.104000	0.002193
4.116000	0.002109
4.128000	0.002028
4.140000	0.001950
4.152000	0.001874
4.164000	0.001801
4.176000	0.001731
4.188000	0.001663
4.200000	0.001597
4.212000	0.001534
4.224000	0.001473
4.236000	0.001414
4.248000	0.001357
4.260000	0.001302
4.272000	0.001250
4.284000	0.001199
4.296000	0.001150
4.308000	0.001103
4.320000	0.001057
4.332000	0.001014
4.344000	0.000971
4.356000	0.000931
4.368000	0.000892
4.380000	0.000854
4.392000	0.000818
4.404000	0.000784
4.416000	0.000750
4.428000	0.000718
4.440000	0.000687
4.452000	0.000658
4.464000	0.000629
4.476000	0.000602
4.488000	0.000576
4.500000	0.000550
4.512000	0.000526
4.524000	0.000503
4.536000	0.000481
4.548000	0.000459
4.560000	0.000439
4.572000	0.000419
4.584000	0.000400
4.596000	0.000382
4.608000	0.000365
4.620000	0.000348
4.632000	0.000332
4.644000	0.000317
4.656000	0.000302
4.668000	0.000288
4.680000	0.000275
4.692000	0.000262
4.704000	0.000249
4.716000	0.000238
4.728000	0.000226
4.740000	0.000216
4.752000	0.000205
4.764000	0.000196
4.776000	0.000186
4.788000	0.000177
4.800000	0.000169
4.812000	0.000160
4.824000	0.000153
4.836000	0.000145
4.848000	0.000138
4.860000	0.000131
4.872000	0.000125
4.884000	0.000118
4.896000	0.000112
4.908000	0.000107
4.920000	0.000101
4.932000	0.000096
4.944000	0.000091
4.956000	0.000087
4.968000	0.000082
4.980000	0.000078
4.992000	0.000074
5.004000	0.000070
5.016000	0.000067
5.028000	0.000063
5.040000	0.000060
5.052000	0.000057
5.064000	0.000054
5.076000	0.000051
5.088000	0.000048
5.100000	0.000046
5.112000	0.000043
5.124000	0.000041
5.136000	0.000039
5.148000	0.000037
5.160000	0.000035
5.172000	0.000033
5.184000	0.000031
5.196000	0.000029
5.208000	0.000028
5.220000	0.000026
5.232000	0.000025
5.244000	0.000023
5.256000	0.000022
5.268000	0.000021
5.280000	0.000020
5.292000	0.000018
5.304000	0.000017
5.316000	0.000016
5.328000	0.000015
5.340000	0.000015
5.352000	0.000014
5.364000	0.000013
5.376000	0.000012
5.388000	0.000011
5.400000	0.000011
5.412000	0.000010
5.424000	0.000010
5.436000	0.000009
5.448000	0.000008
5.460000	0.000008
5.472000	0.000007
5.484000	0.000007
5.496000	0.000007
5.508000	0.000006
5.520000	0.000006
5.532000	0.000005
5.544000	0.000005
5.556000	0.000005
5.568000	0.000005
5.580000	0.000004
5.592000	0.000004
5.604000	0.000004
5.616000	0.000004
5.628000	0.000003
5.640000	0.000003
5.652000	0.000003
5.664000	0.000003
5.676000	0.000003
5.688000	0.000002
5.700000	0.000002
5.712000	0.000002
5.724000	0.000002
5.736000	0.000002
5.748000	0.000002
5.760000	0.000002
5.772000	0.000002
5.784000	0.000001
5.796000	0.000001
5.808000	0.000001
5.820000	0.000001
5.832000	0.000001
5.844000	0.000001
5.856000	0.000001
5.868000	0.000001
5.880000	0.000001
5.892000	0.000001
5.904000	0.000001
5.916000	0.000001
5.928000	0.000001
5.940000	0.000001
5.952000	0.000001
5.964000	0.000001
5.976000	0.000001
5.988000	0.000001
