E0=1.626748	epsilon=0.010000
-1.152000	0.551406
-1.140000	0.549841
-1.128000	0.548176
-1.116000	0.546408
-1.104000	0.544538
-1.092000	0.542565
-1.080000	0.540490
-1.068000	0.538312
-1.056000	0.536032
-1.044000	0.533648
-1.032000	0.531161
-1.020000	0.528571
-1.008000	0.525877
-0.996000	0.523081
-0.984000	0.520181
-0.972000	0.517179
-0.960000	0.514074
-0.948000	0.510866
-0.936000	0.507555
-0.924000	0.504142
-0.912000	0.500627
-0.900000	0.497011
-0.888000	0.493293
-0.876000	0.489474
-0.864000	0.485554
-0.852000	0.481534
-0.840000	0.477414
-0.828000	0.473195
-0.816000	0.468877
-0.804000	0.464460
-0.792000	0.459946
-0.780000	0.455335
-0.768000	0.450628
-0.756000	0.445825
-0.744000	0.440926
-0.732000	0.435934
-0.720000	0.430848
-0.708000	0.425669
-0.696000	0.420399
-0.684000	0.415037
-0.672000	0.409586
-0.660000	0.404045
-0.648000	0.398416
-0.636000	0.392700
-0.624000	0.386898
-0.612000	0.381010
-0.600000	0.375039
-0.588000	0.368984
-0.576000	0.362848
-0.564000	0.356632
-0.552000	0.350336
-0.540000	0.343961
-0.528000	0.337510
-0.516000	0.330984
-0.504000	0.324383
-0.492000	0.317709
-0.480000	0.310963
-0.468000	0.304147
-0.456000	0.297262
-0.444000	0.290310
-0.432000	0.283292
-0.420000	0.276210
-0.408000	0.269065
-0.396000	0.261858
-0.384000	0.254591
-0.372000	0.247266
-0.360000	0.239885
-0.348000	0.232448
-0.336000	0.224958
-0.324000	0.217417
-0.312000	0.209825
-0.300000	0.202184
-0.288000	0.194497
-0.276000	0.186765
-0.264000	0.178990
-0.252000	0.171174
-0.240000	0.163317
-0.228000	0.155423
-0.216000	0.147493
-0.204000	0.139528
-0.192000	0.131531
-0.180000	0.123503
-0.168000	0.115446
-0.156000	0.107363
-0.144000	0.099254
-0.132000	0.091122
-0.120000	0.082969
-0.108000	0.074797
-0.096000	0.066607
-0.084000	0.058402
-0.072000	0.050182
-0.060000	0.041952
-0.048000	0.033711
-0.036000	0.025462
-0.024000	0.017208
-0.012000	0.008949
